Address,Postal_Code,County,Price_euro,Not_Full_Market_Price,Description_of_Property,Property_Size_Description,Day,Month,Year,DoS_yyyymmdd,Income_Indices,Income_Per_Person_euro
"84 The Forts, Dooradoyle, Limerick",Unknown,Limerick,137000.0,No,Second-Hand Dwelling house /Apartment,Unknown,4,10,2011,2011-10-04,110.6530875,27649.23993
"7 Willow Lodge, Farmleigh Woods, Castleknock",Unknown,Dublin,137010.0,No,Second-Hand Dwelling house /Apartment,Unknown,19,11,2015,2015-11-19,121.3860474,32997.87569
"12, Raleigh Row",Unknown,Galway,137399.0,No,Second-Hand Dwelling house /Apartment,Unknown,22,12,2014,2014-12-22,91.09733125,23859.69176
"6 HANSTED RD, LUCAN, DUBLIN",Unknown,Dublin,137399.0,No,Second-Hand Dwelling house /Apartment,Unknown,22,12,2014,2014-12-22,120.6112462,31589.80748
"4 HANSTEAD ROAD, FINNSTOWN, LUCAN",Unknown,Dublin,137399.0,No,Second-Hand Dwelling house /Apartment,Unknown,22,12,2014,2014-12-22,120.6112462,31589.80748
"CARNAGORE, CARRIGART, LETTERKENNY",Unknown,Donegal,137500.0,No,Second-Hand Dwelling house /Apartment,Unknown,2,7,2014,2014-07-02,72.1836347,18905.92458
"7  THOMOND HALL, BALLYMAHON, LONGFORD",Unknown,Longford,137500.0,No,Second-Hand Dwelling house /Apartment,Unknown,12,11,2015,2015-11-12,82.23913948,22356.08588
"ROGANS LANE, ARDEE, LOUTH",Unknown,Louth,137500.0,No,Second-Hand Dwelling house /Apartment,Unknown,16,9,2016,2016-09-16,89.38559664,25021.96999
"2 CARROWMANAGH PARK, OUGHTERARD, GALWAY",Unknown,Galway,137500.0,No,Second-Hand Dwelling house /Apartment,Unknown,16,7,2020,2020-07-16,89.61251364,29161.30477
"17 BEECHLAWN, JOHNSTOWN, NAVAN",Unknown,Meath,137500.0,No,Second-Hand Dwelling house /Apartment,Unknown,22,9,2014,2014-09-22,97.67184865,25581.65174
"APARTMENT 2, TURVEY GOLF CLUB, DONABATE",Unknown,Dublin,137500.0,No,Second-Hand Dwelling house /Apartment,Unknown,28,6,2016,2016-06-28,121.9729259,34144.23583
"MAIN STREET, ABBEYFEALE, CO LIMERICK",Unknown,Limerick,138000.0,No,Second-Hand Dwelling house /Apartment,Unknown,25,6,2019,2019-06-25,109.2395096,34751.16309
"30 BALLYNOE MEWS, COBH, CORK",Unknown,Cork,138000.0,No,Second-Hand Dwelling house /Apartment,Unknown,29,11,2019,2019-11-29,102.3223668,32550.68859
"15 LINTOWN GARDENS, LINTOWN HALL, JOHNSWELL ROAD  KILKENNY",Unknown,Kilkenny,138000.0,No,Second-Hand Dwelling house /Apartment,Unknown,22,10,2012,2012-10-22,87.77798945,22747.37896
"12 ESKER GROVE, ARDKEEN VILLAGE, WATERFORD",Unknown,Waterford,138000.0,No,Second-Hand Dwelling house /Apartment,Unknown,13,5,2016,2016-05-13,90.09594264,25220.81921
"40 OLD WINDMILL COURT, LOWER GERARD GRIFFIN ST, LIMERICK",Unknown,Limerick,138000.0,No,Second-Hand Dwelling house /Apartment,Unknown,29,3,2019,2019-03-29,109.2395096,34751.16309
"14 THE GLEBE, TOGHER ROAD, MONASTEREVIN",Unknown,Kildare,138000.0,Yes,Second-Hand Dwelling house /Apartment,Unknown,16,12,2016,2016-12-16,107.8389625,30187.67436
"1 FORELANDS, KENMARE, KERRY",Unknown,Kerry,138000.0,No,Second-Hand Dwelling house /Apartment,Unknown,16,11,2020,2020-11-16,85.50174849,27883.99729
"ANU COTTAGE, BOUNARD, GNEEVEGUILLA",Unknown,Kerry,138000.0,No,Second-Hand Dwelling house /Apartment,Unknown,23,10,2018,2018-10-23,83.74417175,25604.87945
"BENVOY, ANNESTOWN",Unknown,Waterford,138000.0,No,Second-Hand Dwelling house /Apartment,Unknown,15,3,2013,2013-03-15,92.94263965,23877.30067
"25 ASSUMPTION RD, ATHLONE, CO WESTMEATH",Unknown,Westmeath,138000.0,No,Second-Hand Dwelling house /Apartment,Unknown,1,8,2019,2019-08-01,75.88279203,24139.75761
"6 BROOK AVE, ROCKLANDS, CAVAN",Unknown,Cavan,138000.0,No,Second-Hand Dwelling house /Apartment,Unknown,3,8,2018,2018-08-03,80.69126288,24671.44895
"21 THE PARC, NORTH CIRCULAR RD, LIMERICK",Unknown,Limerick,138000.0,No,Second-Hand Dwelling house /Apartment,Unknown,14,12,2020,2020-12-14,110.2827876,36028.55853
"12 HARBOUR COURT, COURTMACSHERRY, CORK",Unknown,Cork,138000.0,No,Second-Hand Dwelling house /Apartment,Unknown,6,9,2016,2016-09-06,98.91884037,27690.63863
"19 GLENVIEW CLOSE, CLONMEL, TIPPERARY",Unknown,Tipperary,138200.0,No,Second-Hand Dwelling house /Apartment,Unknown,21,10,2014,2014-10-21,91.24637818,23898.72928
"131 Cimin Mor, Cappagh, Galway",Unknown,Galway,138500.0,No,Second-Hand Dwelling house /Apartment,Unknown,5,12,2012,2012-12-05,94.27968127,24432.27114
"Spukane, Waterville",Unknown,Kerry,138500.0,No,Second-Hand Dwelling house /Apartment,Unknown,12,10,2012,2012-10-12,85.76827362,22226.56768
"No 42 Ashewood Walk, Summerhill Lane, Portlaoise",Unknown,Laois,157298.515,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,16,12,2014,2014-12-16,87.4867384,22914.02594
"47 ARD ODONNELL, LETTERKENNY, DONEGAL",Unknown,Donegal,139000.0,No,Second-Hand Dwelling house /Apartment,Unknown,18,2,2020,2020-02-18,71.91219733,23409.2373
"31 CRUACHAN, ABBEYSIDE, DUNGARVAN",Unknown,Waterford,139000.0,No,Second-Hand Dwelling house /Apartment,Unknown,16,5,2019,2019-05-16,90.0757785,28654.81621
"KILARD ROAD, DOONMORE, DOONBEG",Unknown,Clare,139000.0,No,Second-Hand Dwelling house /Apartment,Unknown,20,7,2015,2015-07-20,87.13651372,23687.3999
"8 CLOHEEN VILLAGE, CLONAKILTY, CORK",Unknown,Cork,139000.0,No,Second-Hand Dwelling house /Apartment,Unknown,6,4,2017,2017-04-06,98.94301186,29293.89683
"DRAIOCHT, RADEERPARK, CLONES",Unknown,Monaghan,139000.0,No,Second-Hand Dwelling house /Apartment,Unknown,8,12,2017,2017-12-08,81.09450753,24009.51914
"10 Milltown Gate, Burgage Mor, Blessington",Unknown,Wicklow,157906.875,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,17,5,2013,2013-05-17,98.71788095,25360.98107
"1 ST CUTHBERTHS CT, CLONDALKIN, DUBLIN 12",Dublin 22,Dublin,139234.0,No,Second-Hand Dwelling house /Apartment,Unknown,22,12,2016,2016-12-22,121.9729259,34144.23583
"61 Heathfield Park, Cappagh Road, Finglas",Dublin 11,Dublin,139454.0,No,Second-Hand Dwelling house /Apartment,Unknown,11,7,2013,2013-07-11,120.0591077,30843.61949
"53 WOODFIELD GROVE, NEWCASTLE WEST, CO LIMERICK",Unknown,Limerick,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,27,2,2015,2015-02-27,104.4601497,28396.69884
"11 Stephen's Road, Inchicore",Dublin 8,Dublin,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,8,3,2013,2013-03-08,120.0591077,30843.61949
"22 THE BIRCHES, TUAM, GALWAY",Unknown,Galway,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,18,6,2019,2019-06-18,90.37404068,28749.69908
"32 AUBURN VILLAGE, BALLYMAHON, LONGFORD",Unknown,Longford,140000.0,Yes,Second-Hand Dwelling house /Apartment,Unknown,22,6,2018,2018-06-22,72.87930501,22282.93361
"122 BALLINFOYLE PARK, HEADFORD RD, GALWAY",Unknown,Galway,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,12,1,2017,2017-01-12,91.30778344,27033.34715
"67 RIVERMILL VIEW, ATHLUMNEY, NAVAN",Unknown,Meath,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,20,10,2017,2017-10-20,105.0864966,31112.78838
"5 Jolly Mariner, Marina Village, Athlone",Unknown,Westmeath,158900.0,No,New Dwelling house /Apartment,greater than or equal to 125 sq metres,20,12,2012,2012-12-20,88.51816938,22939.19417
"36 WOODGROVE, BALLYFIN RD, PORTLAOISE",Unknown,Laois,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,30,11,2016,2016-11-30,84.69451586,23708.78211
"63 Dunaras Village, Bishop O' Donnell Road, Galway",Unknown,Galway,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,18,9,2015,2015-09-18,90.412496,24577.95081
"7 MAIN ST, BALLINACURRA, MIDLETON",Unknown,Cork,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,13,5,2019,2019-05-13,102.3223668,32550.68859
"135 BALLYGALL CRESCENT, FINGLAS, DUBLIN 11",Dublin 11,Dublin,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,21,11,2016,2016-11-21,121.9729259,34144.23583
"46 Annamoe Park, Cabra, Dublin 7",Dublin 7,Dublin,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,27,2,2015,2015-02-27,121.3860474,32997.87569
"102 COIS NA HABHAINN, TUAM, GALWAY",Unknown,Galway,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,12,8,2019,2019-08-12,90.37404068,28749.69908
"25 Bremore Pastures Avenue, Balbriggan",Unknown,Dublin,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,3,3,2016,2016-03-03,121.9729259,34144.23583
"Pink House, Ludden, Buncrana",Unknown,Donegal,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,1,3,2013,2013-03-01,73.60246242,18908.73911
"APT 66, THORNFIELD SQ, CLONDALKIN DUBLIN 22",Dublin 22,Dublin,140000.0,Yes,Second-Hand Dwelling house /Apartment,Unknown,25,9,2017,2017-09-25,120.8404921,35777.04822
"34 Woodfield Hall, Station Road, Blarney",Unknown,Cork,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,10,3,2016,2016-03-10,98.91884037,27690.63863
"71 WOODVIEW, BALLYWISH, CASTLEBRIDGE",Unknown,Wexford,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,21,9,2017,2017-09-21,82.15337253,24323.01558
"16A PATRICKS ST., DUNLAOGHAIRE, CO DUBLIN",Unknown,Dublin,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,13,7,2016,2016-07-13,121.9729259,34144.23583
"16 Westgate, Birr",Unknown,Offaly,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,19,9,2012,2012-09-19,81.3776957,21088.76376
"111 GLANTAN, GOLF LINKS RD, CASTLETROY",Unknown,Limerick,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,21,12,2016,2016-12-21,108.8402222,30467.95989
"36 UPLANDS, FERMOY, CORK",Unknown,Cork,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,3,9,2020,2020-09-03,102.4934839,33427.07414
"13 Laurel Court, Dwyers Road, Midleton",Unknown,Cork,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,30,9,2013,2013-09-30,100.9859374,25943.65299
"10 Monastery Mews, Blarney Street",Unknown,Cork,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,23,7,2012,2012-07-23,99.68430933,25832.86283
"LOWER MAIN STREET, FERBANE, COUNTY OFFALY",Unknown,Offaly,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,29,11,2019,2019-11-29,71.51053362,22748.85915
"18D HARBOUR VILLAGE, KILLALOE, HARBOUR VILLAGE",Unknown,Clare,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,3,6,2015,2015-06-03,87.13651372,23687.3999
"DROMINBOY, LISNAGRY, LIMERICK",Unknown,Limerick,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,20,8,2015,2015-08-20,104.4601497,28396.69884
"1 CILL AN OIR, GRAIGUECULLEN, CARLOW",Unknown,Laois,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,10,4,2017,2017-04-10,82.72038948,24490.89136
"9 KILCUMMIN FIELDS, OUGHTERARD, GALWAY",Unknown,Galway,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,14,7,2014,2014-07-14,91.09733125,23859.69176
"46 YOUGHAL BAY, YOUGHAL, CORK",Unknown,Cork,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,16,12,2014,2014-12-16,99.86583566,26156.28826
"10 STONEPARK, BALLYMOTE, CO SLIGO",Unknown,Sligo,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,14,7,2021,2021-07-14,86.11087792,28716.55387
"10 LANTAN, RATHKELLY, BALLINROBE",Unknown,Mayo,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,10,4,2017,2017-04-10,80.43525017,23814.33388
"57 Lissadel Avenue, Drimnagh",Dublin 12,Dublin,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,29,7,2013,2013-07-29,120.0591077,30843.61949
"4A VIKING HARBOUR, DUBLIN 8",Unknown,Dublin,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,2,7,2020,2020-07-02,123.1012168,40191.10945
"50 THE ANCHORAGE, TRALEE, KERRY",Unknown,Kerry,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,9,10,2020,2020-10-09,85.50174849,27883.99729
"27 KILL ST LAWRENCE, WATERFORD, WATERFORD",Unknown,Waterford,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,4,5,2016,2016-05-04,90.09594264,25220.81921
"1 THE STABLES, BEENBANE, WATERVILLE",Unknown,Kerry,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,17,7,2020,2020-07-17,85.50174849,27883.99729
"21 Tara, An Caislean, Ballincollig",Unknown,Cork,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,19,6,2013,2013-06-19,100.9859374,25943.65299
"61 CABRA DR, CIRCULAR RD NORTH, DUBLIN 7",Dublin 7,Dublin,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,24,6,2016,2016-06-24,121.9729259,34144.23583
"43 BLACKWOOD AVE, THE GALLOPS, LATT",Unknown,Cavan,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,12,2,2021,2021-02-12,79.16602373,26311.79455
"27 Merchants Square, East Wall, Dublin 3",Dublin 3,Dublin,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,11,11,2013,2013-11-11,120.0591077,30843.61949
"TEACH BRUN, 12 ST MICHAELS VILLAS, CLON RD",Unknown,Clare,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,10,11,2017,2017-11-10,89.14211516,26392.16126
"51 COSBY AVE, FAIRGREEN VILLAGE, PORTLAOISE",Unknown,Laois,140000.0,Yes,Second-Hand Dwelling house /Apartment,Unknown,16,7,2018,2018-07-16,77.80367058,23788.5642
"31 GREENVILLE AVE, CIRCULAR RD SOUTH, DUBLIN 8",Dublin 8,Dublin,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,9,6,2016,2016-06-09,121.9729259,34144.23583
"24 HAZELGROVE, ARDFERT, KERRY",Unknown,Kerry,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,22,5,2015,2015-05-22,84.22336603,22895.48281
"the covet, bostoncommon, rathangan",Unknown,Kildare,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,8,9,2011,2011-09-08,102.7482377,25674.0299
"19 MEADOW COURT, BOHERBUE, MALLOW",Unknown,Cork,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,3,4,2020,2020-04-03,102.4934839,33427.07414
"5 ROSLYN COURT, BISHOPSTOWN, CORK",Unknown,Cork,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,13,10,2016,2016-10-13,98.91884037,27690.63863
"The Hill, Loughrea",Unknown,Galway,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,18,12,2014,2014-12-18,91.09733125,23859.69176
"THE STRAND, BALLICKMOYLER, CO. LAOIS",Unknown,Laois,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,31,8,2018,2018-08-31,77.80367058,23788.5642
"Harbour View, Killybegs",Unknown,Donegal,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,17,4,2015,2015-04-17,71.6171107,19468.56797
"7 THE COURTYARD, MAIN ST, KILCULLEN",Unknown,Kildare,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,9,12,2015,2015-12-09,105.0155327,28547.6755
"DRUMNACARRA COTTAGE, DRUMNACARRA, RAVENSDALE",Unknown,Louth,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,26,10,2016,2016-10-26,89.38559664,25021.96999
"Erne Hill, Belturbet",Unknown,Cavan,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,3,7,2013,2013-07-03,84.08393033,21601.46617
"4 KILRUSH ROAD, ENNIS, CO. CLARE",Unknown,Clare,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,15,10,2021,2021-10-15,88.94796907,29651.38888
"164 ROBERTS HILL, CIRCULAR RD, KILKENNY",Unknown,Kilkenny,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,29,8,2016,2016-08-29,88.15590643,24677.73924
"2862 CHURCH VIEW EST, SUNCROFT, THE CURRAGH",Unknown,Kildare,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,6,9,2019,2019-09-06,107.1593191,34089.41499
"49 TULLASKEAGH DRIVE, ROSCREA, TIPPERARY",Unknown,Tipperary,140000.0,Yes,Second-Hand Dwelling house /Apartment,Unknown,23,12,2020,2020-12-23,82.46228901,26823.89705
"30A GLENWOOD, DUNDALK, CO LOUTH",Unknown,Louth,140000.0,Yes,Second-Hand Dwelling house /Apartment,Unknown,3,8,2017,2017-08-03,90.98398142,26937.47961
"69 COIS NA HABHAINN, BALLYGADDY RD, TUAM",Unknown,Galway,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,3,2,2020,2020-02-03,89.61251364,29161.30477
"386 TIRELLAN HEIGHTS, HEADFORD RD, GALWAY",Unknown,Galway,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,24,7,2014,2014-07-24,91.09733125,23859.69176
"THE THATCHED COTTAGE, BALLYTEIGE, KILMORE QUAY",Unknown,Wexford,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,16,7,2021,2021-07-16,81.57245941,27113.90239
"8 Old Muirhevna, Dublin Road, Dundalk",Unknown,Louth,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,12,10,2011,2011-10-12,91.49204308,22861.40865
"MULMOSOG, ALTRAGAPPLE, KILLYBEGS DONEGAL",Unknown,Donegal,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,30,9,2016,2016-09-30,69.47650061,19448.75885
"19 Caislean Cuirt, The Commons, Thurles",Unknown,Tipperary,158900.0,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,12,12,2012,2012-12-12,90.11396963,23352.74059
"34 ELM PARK, CLAREMORRIS, MAYO",Unknown,Mayo,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,11,11,2019,2019-11-11,80.78251551,25698.45272
"6 AVONDALE CRESCENT, ARKLOW, WICKLOW",Unknown,Wicklow,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,3,7,2015,2015-07-03,101.496535,27591.06268
"17 GLENVALE, BALLYRAGGET, KILKENNY",Unknown,Kilkenny,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,8,3,2017,2017-03-08,86.97493955,25750.52909
"BILLY'S PLACE, ANNAGH LONG, GOREY",Unknown,Wexford,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,27,4,2018,2018-04-27,83.40947072,25502.54421
"59 LUS MOR, WHITEROCK HILL, WEXFORD",Unknown,Wexford,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,14,7,2017,2017-07-14,82.15337253,24323.01558
"No 47 Cois Furain, Cosmona, Loughrea",Unknown,Galway,158900.0,No,New Dwelling house /Apartment,less than 38 sq metres,24,5,2013,2013-05-24,91.40722728,23482.84767
"38 THE HEATH, RAMSGATE VILLAGE, GOREY",Unknown,Wexford,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,18,6,2018,2018-06-18,83.40947072,25502.54421
"Killaun, Killyon, Birr",Unknown,Offaly,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,7,7,2011,2011-07-07,82.41315962,20592.83908
"5 Cratlock Meadows, Old Cratlock Road, Limerick",Unknown,Limerick,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,23,3,2015,2015-03-23,104.4601497,28396.69884
"7 THE PINES, THE MILES, CLONAKILTY",Unknown,Cork,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,14,5,2015,2015-05-14,98.45160268,26763.32095
"12 CREMORE CLOSE, GRANGE MANOR, WATERFORD",Unknown,Waterford,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,22,9,2015,2015-09-22,95.42257239,25939.90205
"1 MAIN STREET, COOLGRANEY, CO WEXFORD",Unknown,Wexford,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,26,2,2021,2021-02-26,81.57245941,27113.90239
"11 LADYS ABBEY, ARDFINNAN, TIPPERARY",Unknown,Tipperary,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,2,3,2020,2020-03-02,82.46228901,26823.89705
"3 STEPHENS TERRACE, BALLYMULLEN, TRALEE",Unknown,Kerry,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,8,9,2016,2016-09-08,86.16519196,24120.47274
"68 LAUREL GROVE, TAGOAT, ROSSLARE",Unknown,Wexford,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,25,7,2019,2019-07-25,83.51898489,26568.97561
"MAULNASKEHA, DRIMOLEAGUE, CORK",Unknown,Cork,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,3,3,2021,2021-03-03,102.6648871,34327.05524
"APT 2, 10 TRINITY STREET, DROGHEDA",Unknown,Louth,140100.0,No,Second-Hand Dwelling house /Apartment,Unknown,30,6,2016,2016-06-30,89.38559664,25021.96999
"1A NEWMANS MALL, KINSALE, CORK",Unknown,Cork,140800.0,No,Second-Hand Dwelling house /Apartment,Unknown,20,2,2015,2015-02-20,98.45160268,26763.32095
"14 The Close, Graigavern Lodge, Ballybrittas",Unknown,Laois,159998.9978,No,New Dwelling house /Apartment,greater than or equal to 125 sq metres,25,5,2016,2016-05-25,84.69451586,23708.78211
"34 THE GROVE, KILL ST LAWRENCE",Unknown,Waterford,159999.815,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,5,3,2013,2013-03-05,92.94263965,23877.30067
"No.3 Cheltenham Close, Racecourse, Kilmacrennan",Unknown,Donegal,159999.9966,No,New Dwelling house /Apartment,Unknown,27,4,2021,2021-04-27,71.41550905,23788.7895
"27 THE WILLOWS CASTLE HEIGHTS, KILMONEY RD, CARRIGALINE",Unknown,Cork,159999.9966,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,14,4,2016,2016-04-14,98.91884037,27690.63863
"2 AMELIO MEWS, MAIN ST, KILGARVAN",Unknown,Kerry,141000.0,No,Second-Hand Dwelling house /Apartment,Unknown,31,8,2017,2017-08-31,85.65692567,25360.30687
"APARTMENT NO 53, SMITHFIELD LOFTS, NORTH KING STREET",Unknown,Dublin,141000.0,No,Second-Hand Dwelling house /Apartment,Unknown,1,2,2018,2018-02-01,122.3417314,37406.12892
"25 ROYAL OAK RD, BAGENALSTOWN, CARLOW",Unknown,Carlow,141000.0,No,Second-Hand Dwelling house /Apartment,Unknown,22,12,2016,2016-12-22,89.48697411,25050.34888
"29 Stenson Park, Farranshone, Limerick",Unknown,Limerick,141000.0,No,Second-Hand Dwelling house /Apartment,Unknown,29,10,2013,2013-10-29,106.1068916,27259.24467
"2 THE HAMPTON, SANTRY, DUBLIN",Dublin 11,Dublin,141000.0,No,Second-Hand Dwelling house /Apartment,Unknown,2,10,2019,2019-10-02,122.2901374,38902.81574
"6  Riverside, Millers Brook, Nenagh",Unknown,Tipperary,160829.5,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,27,10,2010,2010-10-27,92.77836976,23642.66044
"4 FRIARY DOWNS, KILLARNEY, KERRY",Unknown,Kerry,141979.0,No,Second-Hand Dwelling house /Apartment,Unknown,22,12,2014,2014-12-22,84.84641486,22222.4875
"77 THE SPIRES, COBH, CORK",Unknown,Cork,141979.0,No,Second-Hand Dwelling house /Apartment,Unknown,22,12,2014,2014-12-22,99.86583566,26156.28826
"11 COBBLERS WALK, LUSK VILLAGE, LUSK",Unknown,Dublin,142000.0,No,Second-Hand Dwelling house /Apartment,Unknown,21,4,2017,2017-04-21,120.8404921,35777.04822
"6A KEY COURT, NEW BUILDING LANE, KILKENNY",Unknown,Kilkenny,142000.0,No,Second-Hand Dwelling house /Apartment,Unknown,17,12,2018,2018-12-17,88.04524062,26919.93634
"84 The Orchard, Blyry Lower, Athlone",Unknown,Westmeath,161170.0,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,14,4,2010,2010-04-14,89.92394441,22915.26882
"ARD MHUIRE, FAUGHT WEST, OUGHTERARD",Unknown,Galway,142000.0,No,Second-Hand Dwelling house /Apartment,Unknown,10,9,2015,2015-09-10,90.412496,24577.95081
"68 WESTWOOD RD, FINGLAS, DUBLIN 11",Dublin 11,Dublin,142000.0,No,Second-Hand Dwelling house /Apartment,Unknown,5,9,2019,2019-09-05,122.2901374,38902.81574
"31 ARD RUA, CLAREMORRIS, COUNTY MAYO",Unknown,Mayo,142000.0,No,Second-Hand Dwelling house /Apartment,Unknown,8,9,2020,2020-09-08,80.15103629,26085.92305
"Loughanelton, Calry",Unknown,Sligo,142000.0,No,Second-Hand Dwelling house /Apartment,Unknown,5,11,2010,2010-11-05,90.79174816,23136.41077
"50 ST JOHNS CLOSE, CLONDALKIN, DUBLIN 22",Dublin 22,Dublin,142000.0,No,Second-Hand Dwelling house /Apartment,Unknown,16,7,2015,2015-07-16,121.3860474,32997.87569
"9 ELM PARK, TRAMORE, CO. WATERFORD",Unknown,Waterford,142000.0,No,Second-Hand Dwelling house /Apartment,Unknown,21,10,2013,2013-10-21,92.94263965,23877.30067
"61 OAKHILL, CORK HILL, YOUGHAL",Unknown,Cork,142000.0,No,Second-Hand Dwelling house /Apartment,Unknown,8,10,2018,2018-10-08,101.6747702,31087.1811
"10 CONVENT HILL, BANDON, CO CORK",Unknown,Cork,142000.0,No,Second-Hand Dwelling house /Apartment,Unknown,25,10,2017,2017-10-25,98.94301186,29293.89683
"ST JUDE, GARRANLEA, NEW INN",Unknown,Tipperary,142000.0,No,Second-Hand Dwelling house /Apartment,Unknown,19,10,2018,2018-10-19,86.68234561,26503.22958
"92 BROOKVILLE AVENUE, CLAREVIEW, LIMERICK",Unknown,Limerick,142000.0,No,Second-Hand Dwelling house /Apartment,Unknown,9,4,2015,2015-04-09,104.4601497,28396.69884
"14 BELLEWSBRIDGE RD, DUNDALK, LOUTH",Unknown,Louth,142000.0,No,Second-Hand Dwelling house /Apartment,Unknown,8,3,2018,2018-03-08,90.09730878,27547.3586
"17 JOHNS GATE, CASTLECOMER RD, KILKENNY",Unknown,Kilkenny,142000.0,No,Second-Hand Dwelling house /Apartment,Unknown,24,2,2021,2021-02-24,87.17800513,29101.90619
"86B Briarfield Road, Kilbarrack",Dublin 5,Dublin,161437.59894999999,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,30,8,2012,2012-08-30,119.0093179,30840.87562
"CUL CLUMTHAR, LOWER VILLAGE, DUNMORE EAST",Unknown,Waterford,142500.0,No,Second-Hand Dwelling house /Apartment,Unknown,19,5,2016,2016-05-19,90.09594264,25220.81921
