Address,Postal_Code,County,Price_euro,Not_Full_Market_Price,VAT_Exclusive,Description_of_Property,Property_Size_Description,Day,Month,Year,DoS_yyyymmdd,Income_Indices,Income_Per_Person_euro,num_Postal_Code,num_County
"CUNNAGHER, ROSS, CASTLEBAR",,Mayo,80000.0,No,No,Second-Hand Dwelling house /Apartment,,7,9,2018,2018-09-07,79.23998574,24227.71925,-1,15
"8 CHURCHTOWN COURT, KILRANE, ROSSLARE",,Wexford,173000.0,No,No,Second-Hand Dwelling house /Apartment,,30,10,2018,2018-10-30,83.40947072,25502.54421,-1,24
"10 THE GROVE, MELROSE PARK, KINSEALY",,Dublin,285000.0,No,No,Second-Hand Dwelling house /Apartment,,18,10,2017,2017-10-18,120.8404921,35777.04822,-1,5
"12 Berry's Close, Spa Road, Inchicore",,Dublin,117909.1,Yes,No,Second-Hand Dwelling house /Apartment,,19,8,2011,2011-08-19,117.6102093,29387.63815,-1,5
"28 CHURCH AVE, OFF ROMAN ST, CORK",,Cork,120000.0,No,No,Second-Hand Dwelling house /Apartment,,6,2,2015,2015-02-06,98.45160268,26763.32095,-1,3
"48 GRAND CANAL WHARF, SOUTH DOCK RD, RINGSEND DUBLIN 4",Dublin 4,Dublin,385000.0,No,No,Second-Hand Dwelling house /Apartment,,15,6,2021,2021-06-15,123.9176757,41522.06589,15,5
"36 The Riverside, Ryebridge, Kilcock",,Kildare,299559.0,No,Yes,New Dwelling house /Apartment,,29,8,2019,2019-08-29,107.1593191,34089.41499,-1,8
"27 WAITHMAN, FIONNUISCE, DOUGHISKA",,Galway,60000.0,No,No,Second-Hand Dwelling house /Apartment,,11,6,2018,2018-06-11,91.05341986,27839.69069,-1,6
"25 Botanika, Blackrock",,Cork,533039.0,No,Yes,New Dwelling house /Apartment,,18,7,2019,2019-07-18,102.3223668,32550.68859,-1,3
"BALLINRAHIN, RATHANGAN, KILDARE",,Kildare,170000.0,No,No,Second-Hand Dwelling house /Apartment,,15,3,2019,2019-03-15,107.1593191,34089.41499,-1,8
"75 CHAPEL FARM RD, LUSK, DUBLIN",,Dublin,160000.0,No,No,Second-Hand Dwelling house /Apartment,,16,12,2020,2020-12-16,123.1012168,40191.10945,-1,5
"29 ABBEY DRIVE, FERRYBANK, WATERFORD",,Kilkenny,123000.0,No,No,Second-Hand Dwelling house /Apartment,,14,9,2018,2018-09-14,88.04524062,26919.93634,-1,9
"15 CHURCHFIELDS, STRAFFAN, CO KILDARE",,Kildare,903038.0,No,No,Second-Hand Dwelling house /Apartment,,10,10,2014,2014-10-10,102.4504307,26833.2306,-1,8
"Ballygalvert, Ballywilliam, Enniscorthy",,Wexford,65000.0,No,No,Second-Hand Dwelling house /Apartment,,10,9,2012,2012-09-10,86.07816613,22306.87531,-1,24
"COOMNAKILLA, BLACKWATER, KILLARNEY",,Kerry,366000.0,No,No,Second-Hand Dwelling house /Apartment,,11,11,2021,2021-11-11,85.62474275,28626.5986,-1,7
"5 CAIRNCOURT, DUNTAHEEN ROAD, FERMOY",,Cork,337000.0,No,No,Second-Hand Dwelling house /Apartment,,13,12,2021,2021-12-13,102.6648871,34327.05524,-1,3
"5 Monksfield Avenue, Clondalkin, Dublin",,Dublin,195000.0,No,No,Second-Hand Dwelling house /Apartment,,14,6,2011,2011-06-14,117.6102093,29387.63815,-1,5
"11 Prussellstown Green, Athy",,Kildare,168943.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,22,7,2016,2016-07-22,107.8389625,30187.67436,-1,8
"6 JAMES STREET, TIPPERARY",,Tipperary,125000.0,No,No,Second-Hand Dwelling house /Apartment,,20,9,2017,2017-09-20,90.26349033,26724.16498,-1,21
"FAIRGREEN, BELTURBET, CO. CAVAN",,Cavan,65000.0,No,No,Second-Hand Dwelling house /Apartment,,12,9,2014,2014-09-12,84.26433538,22070.03258,-1,1
"7 HARBOUR VIEW, CROFTON RD, DUN LAOGHAIRE",,Dublin,281938.0,No,Yes,New Dwelling house /Apartment,less than 38 sq metres,8,6,2018,2018-06-08,122.3417314,37406.12892,-1,5
"20 Hophill Grove, Church Road, Tullamore",,Offaly,70000.0,No,No,Second-Hand Dwelling house /Apartment,,11,12,2013,2013-12-11,82.01420462,21069.74614,-1,18
"33 ORPEN RISE, BLACKROCK, DUBLIN",,Dublin,475000.0,No,No,Second-Hand Dwelling house /Apartment,,2,3,2015,2015-03-02,121.3860474,32997.87569,-1,5
"KNOCKBOY, RATHVILLY, CARLOW",,Carlow,143000.0,No,No,Second-Hand Dwelling house /Apartment,,13,2,2017,2017-02-13,85.94628606,25445.97733,-1,0
"SANDPIPER, CHANNEL RD, RUSH",,Dublin,565000.0,No,No,Second-Hand Dwelling house /Apartment,,9,7,2021,2021-07-09,123.9176757,41522.06589,-1,5
"33 GREEN ISLE COURT, CLONDALKIN, DUBLIN",,Dublin,96500.0,No,No,Second-Hand Dwelling house /Apartment,,24,2,2014,2014-02-24,120.6112462,31589.80748,-1,5
"5 WOODLANDS COURT, PORTMARNOCK, DUBLIN 13",Dublin 13,Dublin,695000.0,No,No,Second-Hand Dwelling house /Apartment,,4,10,2019,2019-10-04,122.2901374,38902.81574,4,5
"7 Cuil Duin Avenue, Cuil Duin, Citywest",Dublin 24,Dublin,317180.0,No,Yes,New Dwelling house /Apartment,,19,3,2020,2020-03-19,123.1012168,40191.10945,13,5
"19 CUNNINGHAM DR, DALKEY, DUBLIN",,Dublin,605000.0,No,No,Second-Hand Dwelling house /Apartment,,9,11,2018,2018-11-09,122.3417314,37406.12892,-1,5
"17 EAST, SINGLAND RD, GARRYOWEN",,Limerick,21250.0,Yes,No,Second-Hand Dwelling house /Apartment,,31,8,2018,2018-08-31,108.2158455,33087.12259,-1,12
"7 Rathealy Heights, Fermoy",,Cork,175000.0,No,No,Second-Hand Dwelling house /Apartment,,13,8,2015,2015-08-13,98.45160268,26763.32095,-1,3
"12 SYLVAN CLOSE, KINGSWOOD HEIGHTS, TALLAGHT DUBLIN 24",Dublin 24,Dublin,297000.0,No,No,Second-Hand Dwelling house /Apartment,,11,8,2016,2016-08-11,121.9729259,34144.23583,13,5
"Apartment No 36 Burrells Walk, College Park Callan Road Kilkenny",,Kilkenny,65000.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,1,10,2013,2013-10-01,91.96687282,23626.62264,-1,9
"ARD LEA, STANDHOUSE RD, NEWBRIDGE",,Kildare,285000.0,No,No,Second-Hand Dwelling house /Apartment,,30,6,2017,2017-06-30,114.4367515,33881.10315,-1,8
"14 CARRA GROVE, BALLYMAHON RD, MULLINGAR",,Westmeath,180000.0,No,No,Second-Hand Dwelling house /Apartment,,25,11,2020,2020-11-25,74.69792202,24268.74961,-1,23
"41 The Willows, Janeville, Cork Road",,Cork,273128.03,No,Yes,New Dwelling house /Apartment,,9,6,2020,2020-06-09,102.4934839,33427.07414,-1,3
"84 BOYNE VIEW, JOHNSTOWN, NAVAN",,Meath,198000.0,No,No,Second-Hand Dwelling house /Apartment,,9,3,2017,2017-03-09,105.0864966,31112.78838,-1,16
"No. 25 Aylesbury Avenue, Ferrybank",,Kilkenny,129436.12,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,1,3,2016,2016-03-01,88.15590643,24677.73924,-1,9
"26 LUTTRELLSTOWN WAY, CASTLEKNOCK, DUBLIN 15",Dublin 15,Dublin,390000.0,No,No,Second-Hand Dwelling house /Apartment,,1,11,2019,2019-11-01,122.2901374,38902.81574,6,5
"2 Grove Avenue, Blackrock, Dublin",,Dublin,1050000.0,No,No,Second-Hand Dwelling house /Apartment,,9,12,2011,2011-12-09,117.6102093,29387.63815,-1,5
"34 THE CLOSE, CLONATTIN VILLAGE, GOREY",,Wexford,195000.0,No,No,Second-Hand Dwelling house /Apartment,,17,12,2019,2019-12-17,83.51898489,26568.97561,-1,24
"Cummer, Tuam",,Galway,135000.0,No,No,Second-Hand Dwelling house /Apartment,,18,10,2012,2012-10-18,94.27968127,24432.27114,-1,6
"THE OLD FARMHOUSE, KILLURLEY, EMLAGHMORE",,Kerry,186000.0,No,No,Second-Hand Dwelling house /Apartment,,26,2,2018,2018-02-26,83.74417175,25604.87945,-1,7
"2 LAVALLIN MEWS, WHITECHURCH, CORK",,Cork,210000.0,No,No,Second-Hand Dwelling house /Apartment,,30,3,2016,2016-03-30,98.91884037,27690.63863,-1,3
"60 LARKHILL RD, WHITEHALL, DUBLIN 9",Dublin 9,Dublin,300000.0,No,No,Second-Hand Dwelling house /Apartment,,19,5,2017,2017-05-19,120.8404921,35777.04822,21,5
"6 Gainsborough Downs, Malahide",,Dublin,436000.0,No,No,Second-Hand Dwelling house /Apartment,,12,7,2013,2013-07-12,120.0591077,30843.61949,-1,5
"109 Cartrun Breac, lisbrack, longford",,Longford,59515.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,1,4,2016,2016-04-01,80.04906276,22408.36691,-1,13
"THE MOY, SUMMERHILL, MEATH",,Meath,100000.0,Yes,No,Second-Hand Dwelling house /Apartment,,25,7,2014,2014-07-25,97.67184865,25581.65174,-1,16
"27 MARLAY VIEW, BALLINTEER AVE, RATHFARNHAM",,Dublin,330000.0,No,No,Second-Hand Dwelling house /Apartment,,4,9,2019,2019-09-04,122.2901374,38902.81574,-1,5
"38 RAGLAN LANE, BALLSBRIDGE, DUBLIN 4",Dublin 4,Dublin,1250000.0,No,No,Second-Hand Dwelling house /Apartment,,22,1,2021,2021-01-22,123.9176757,41522.06589,15,5
"2A LONGWOOD AVE, SOUTH CIRCULAR RD, DUBLIN 8",Dublin 8,Dublin,589000.0,No,No,Second-Hand Dwelling house /Apartment,,28,6,2019,2019-06-28,122.2901374,38902.81574,20,5
"HOTEL SUITE NO.4, THE COURTYARD SEAFIELD HOTEL, SEAFIELD GOLF AND COUNTRY CLUB",,Wexford,36250.0,No,No,Second-Hand Dwelling house /Apartment,,29,4,2021,2021-04-29,81.57245941,27113.90239,-1,24
"32 Kellys Bay Strand, Skerries, Co. Dublin",,Dublin,210000.0,No,No,Second-Hand Dwelling house /Apartment,,16,12,2011,2011-12-16,117.6102093,29387.63815,-1,5
"10 Sean Lee Drive, Kilconny, Belturbet",,Cavan,99000.0,No,No,Second-Hand Dwelling house /Apartment,,15,10,2010,2010-10-15,92.05058611,23457.19974,-1,1
"34 ALDERWOOD PARK, SPRINGFIELD, TALLAGHT DUBLIN 24",Dublin 24,Dublin,265000.0,Yes,No,Second-Hand Dwelling house /Apartment,,28,4,2020,2020-04-28,123.1012168,40191.10945,13,5
"CLOONRoLLAGH, BEALNAMULLiA, ATHLONE",,Roscommon,265000.0,No,No,Second-Hand Dwelling house /Apartment,,25,10,2018,2018-10-25,79.18237538,24210.10482,-1,19
"40 ASHFORD, CUSHLA, MONKSLAND",,Roscommon,165000.0,Yes,No,Second-Hand Dwelling house /Apartment,,23,6,2017,2017-06-23,80.82572797,23929.94201,-1,19
"2 The Woods, Ros Mor, Kilmallock Road",,Limerick,185022.02,No,Yes,New Dwelling house /Apartment,,12,2,2019,2019-02-12,109.2395096,34751.16309,-1,12
"Painstown, Donadea",,Kildare,255000.0,No,No,Second-Hand Dwelling house /Apartment,,1,9,2011,2011-09-01,102.7482377,25674.0299,-1,8
"100 CLONARD RD, CRUMLIN, DUBLIN 12",Dublin 12,Dublin,127500.0,No,No,Second-Hand Dwelling house /Apartment,,15,5,2014,2014-05-15,120.6112462,31589.80748,3,5
"ANNAGHEARLY, KILCLARE, CARRICK ON SHANNON",,Leitrim,20000.0,No,No,Second-Hand Dwelling house /Apartment,,28,1,2020,2020-01-28,81.14469894,26378.8963,-1,11
"218 WYCKHAM POINT, DUNDRUM, DUBLIN 16",Dublin 16,Dublin,445000.0,No,No,Second-Hand Dwelling house /Apartment,,28,4,2017,2017-04-28,120.8404921,35777.04822,7,5
"127 ROBERTS HILL, CIRCULAR RD, KILKENNY",,Kilkenny,168000.0,No,No,Second-Hand Dwelling house /Apartment,,5,10,2020,2020-10-05,87.35461571,28466.75173,-1,9
"WALLERS WELL COTTAGE, MARIAN DR, ROXBORO RD",,Limerick,70000.0,No,No,Second-Hand Dwelling house /Apartment,,29,3,2017,2017-03-29,108.4820304,32118.09855,-1,12
"6 CARRIG LIATH, KILLERISK, TRALEE",,Kerry,118000.0,No,No,Second-Hand Dwelling house /Apartment,,19,5,2014,2014-05-19,84.84641486,22222.4875,-1,7
"14 COILL DIARMADA, ARD ALAOI, CASTLEDERMOT",,Kildare,160000.0,No,No,Second-Hand Dwelling house /Apartment,,30,8,2019,2019-08-30,107.1593191,34089.41499,-1,8
"GLENSIDE, ABBEYLEIX ROAD, PORTLAOISE",,Laois,238000.0,No,No,Second-Hand Dwelling house /Apartment,,16,5,2017,2017-05-16,82.72038948,24490.89136,-1,10
"TENNIS, VALENTIA ISLAND, CO KERRY",,Kerry,230000.0,No,No,Second-Hand Dwelling house /Apartment,,24,1,2018,2018-01-24,83.74417175,25604.87945,-1,7
"203 South Central, Rockbrook, Sandyford",Dublin 18,Dublin,278745.0,No,No,Second-Hand Dwelling house /Apartment,,28,1,2015,2015-01-28,121.3860474,32997.87569,9,5
"ARBUTUS, CHURCH HILL, LETTERKENNY",,Donegal,290000.0,No,No,Second-Hand Dwelling house /Apartment,,21,7,2017,2017-07-21,69.81796228,20670.8907,-1,4
"4 Lough Lane, Glaslough, Co. Monaghan",,Monaghan,182500.0,No,No,Second-Hand Dwelling house /Apartment,,4,4,2012,2012-04-04,79.31378447,20553.90792,-1,17
"42 ASHWOOD AVE, BALLINROBE RD, WESTPORT",,Mayo,125000.0,No,No,Second-Hand Dwelling house /Apartment,,24,7,2019,2019-07-24,80.78251551,25698.45272,-1,15
"35 WILLINGTON AVE, TEMPLEOGUE, DUBLIN 6W",,Dublin,485000.0,No,No,Second-Hand Dwelling house /Apartment,,31,7,2018,2018-07-31,122.3417314,37406.12892,-1,5
"1 NEILSTOWN GARDENS, CLONDALKIN, DUBLIN 22",Dublin 22,Dublin,215000.0,No,No,Second-Hand Dwelling house /Apartment,,10,2,2017,2017-02-10,120.8404921,35777.04822,12,5
"50 MCDERMOTT TERRACE, MANORHAMILTON, LEITRIM",,Leitrim,49000.0,No,No,Second-Hand Dwelling house /Apartment,,8,6,2018,2018-06-08,82.03144145,25081.21014,-1,11
"APT 502, ATKINS HALL, LEE ROAD",,Cork,158484.46,No,No,Second-Hand Dwelling house /Apartment,,4,12,2019,2019-12-04,102.3223668,32550.68859,-1,3
"7 Ballygossan Park, Golf Links Road",,Louth,272475.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,6,11,2017,2017-11-06,90.98398142,26937.47961,-1,14
"Apartment No.4, Abelard Square, Phoenix Park Racecourse",Dublin 15,Dublin,232899.56,No,Yes,New Dwelling house /Apartment,,10,6,2020,2020-06-10,123.1012168,40191.10945,6,5
"31 Inis Alainn, Curraclough, Bandon",,Cork,205022.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,26,2,2018,2018-02-26,101.6747702,31087.1811,-1,3
"72 Parklands, Youghal",,Cork,158590.0,Yes,Yes,New Dwelling house /Apartment,,20,12,2018,2018-12-20,101.6747702,31087.1811,-1,3
"23 GLIN RD, BONNYBROCK, COOLOCK DUBLIN 17",Dublin 17,Dublin,247000.0,No,No,Second-Hand Dwelling house /Apartment,,6,12,2019,2019-12-06,122.2901374,38902.81574,8,5
"APT 121 SOUTHMEAD, BALLINTEAR RD, DUNDRUM",Dublin 16,Dublin,350000.0,No,No,Second-Hand Dwelling house /Apartment,,17,5,2018,2018-05-17,122.3417314,37406.12892,7,5
"50 ST ASSAMS PARK, RAHENY, DUBLIN 5",Dublin 5,Dublin,465000.0,No,No,Second-Hand Dwelling house /Apartment,,18,3,2015,2015-03-18,121.3860474,32997.87569,16,5
"Apartment 38, Alexandra Building, Adelaide Square",Dublin 8,Dublin,160000.0,No,No,Second-Hand Dwelling house /Apartment,,22,3,2013,2013-03-22,120.0591077,30843.61949,20,5
"12 Macregol, Seefin, Birr",,Offaly,37445.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,17,4,2014,2014-04-17,81.08086256,21236.23559,-1,18
"Apt 38 Alliance Building, The Gasworks Barrow Street, South Lotts Road",,Dublin,157856.57,No,No,Second-Hand Dwelling house /Apartment,,1,6,2012,2012-06-01,119.0093179,30840.87562,-1,5
"8 SILKWOOD COURT, MORNINGTON, MEATH",,Meath,230000.0,No,No,Second-Hand Dwelling house /Apartment,,25,5,2017,2017-05-25,105.0864966,31112.78838,-1,16
"68 LAUREL GROVE, TAGOAT, ROSSLARE",,Wexford,140000.0,No,No,Second-Hand Dwelling house /Apartment,,25,7,2019,2019-07-25,83.51898489,26568.97561,-1,24
"Apartment 5  Block D, Mount Argus Apartments",Dublin 6w,Dublin,462869.0,No,Yes,New Dwelling house /Apartment,,1,4,2020,2020-04-01,123.1012168,40191.10945,18,5
"APT 3, DENEWOOD, BEECH PARK AVE",Dublin 15,Dublin,201519.0,No,No,Second-Hand Dwelling house /Apartment,,22,12,2014,2014-12-22,120.6112462,31589.80748,6,5
"KNOCKNAGAPPLE, AGHERN, CONNA",,Cork,175000.0,No,No,Second-Hand Dwelling house /Apartment,,9,7,2014,2014-07-09,99.86583566,26156.28826,-1,3
"62 THE VIEW, FIVE OAKS, DROGHEDA",,Louth,152422.9,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,10,7,2014,2014-07-10,88.7353646,23241.05897,-1,14
"23 OBYRNE RD, BRAY, WICKLOW",,Wicklow,260000.0,No,No,Second-Hand Dwelling house /Apartment,,1,9,2015,2015-09-01,101.496535,27591.06268,-1,25
"11 The Starlings, Shanganagh Road, Shankill",,Dublin,395000.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,9,4,2014,2014-04-09,120.6112462,31589.80748,-1,5
"APT 1, NEW LANE VIEW, ABBEYLANDS",,Meath,175000.0,No,No,Second-Hand Dwelling house /Apartment,,11,9,2020,2020-09-11,100.1450409,32617.34424,-1,16
"51 ST LAWRENCES PARK, GARRYOWEN, LIMERICK",,Limerick,35000.0,No,No,Second-Hand Dwelling house /Apartment,,17,9,2014,2014-09-17,106.2192943,27820.3498,-1,12
"11 BOTHAR NA MIAS, KINVARA, CO.GALWAY",,Galway,240000.0,No,No,Second-Hand Dwelling house /Apartment,,4,7,2016,2016-07-04,92.06370489,25771.66062,-1,6
"169 KILNAP PLACE, FARRANREE, CORK",,Cork,168000.0,No,No,Second-Hand Dwelling house /Apartment,,14,10,2019,2019-10-14,102.3223668,32550.68859,-1,3
"SALROCK, RENVYLE, CO GALWAY",,Galway,250000.0,No,No,Second-Hand Dwelling house /Apartment,,9,9,2021,2021-09-09,88.85740352,29578.80337,-1,6
"MAIN STREET LOWER, MAIN STREET LOWER, KILLESHANDRA",,Cavan,25000.0,No,No,Second-Hand Dwelling house /Apartment,,18,3,2015,2015-03-18,84.66412098,23015.29869,-1,1
"TANK RD, CLADDAGHDUFF, CONNEMARA",,Galway,345000.0,No,No,Second-Hand Dwelling house /Apartment,,8,11,2021,2021-11-08,88.85740352,29578.80337,-1,6
"31 HUNTERS PARK, CASTLETOWNROCHE, CORK",,Cork,135000.0,Yes,No,Second-Hand Dwelling house /Apartment,,27,1,2020,2020-01-27,102.4934839,33427.07414,-1,3
"39 ASHFORD COURT, GRANGE, DOUGLAS",,Cork,202500.0,No,No,Second-Hand Dwelling house /Apartment,,26,3,2019,2019-03-26,102.3223668,32550.68859,-1,3
"28 CASTLE HEIGHTS, CARRICKBEG, CARRICK ON SUIR",,Tipperary,124000.0,No,No,Second-Hand Dwelling house /Apartment,,16,12,2019,2019-12-16,83.31231368,26503.22958,-1,21
"APARTMENT 21 PARKVILE COURT, RHEBOGUE, DUBLIN ROAD",,Limerick,95000.0,No,No,Second-Hand Dwelling house /Apartment,,26,10,2021,2021-10-26,111.3360294,37352.90892,-1,12
"AUGHABEHY, ARIGNA, CO. ROSCOMMON",,Roscommon,200000.0,No,No,Second-Hand Dwelling house /Apartment,,14,8,2018,2018-08-14,79.18237538,24210.10482,-1,19
"8 BISHOPSCOURT RD, WILTON, CORK",,Cork,513000.0,No,No,Second-Hand Dwelling house /Apartment,,25,2,2019,2019-02-25,102.3223668,32550.68859,-1,3
"9 THE BELFRY, ATHBOY RD, TRIM",,Meath,218500.0,No,No,Second-Hand Dwelling house /Apartment,,24,9,2020,2020-09-24,100.1450409,32617.34424,-1,16
"202 Eden Bay, West End, Bundoran",,Donegal,136000.0,No,Yes,New Dwelling house /Apartment,less than 38 sq metres,7,11,2017,2017-11-07,69.81796228,20670.8907,-1,4
"1 THE WILLOWS, CLONGOUR, THURLES",,Tipperary,170000.0,No,No,Second-Hand Dwelling house /Apartment,,11,3,2015,2015-03-11,90.24713667,24532.99913,-1,21
"5 KNIGHTS COURT, NEWCASTLEWEST, CO LIMERICK",,Limerick,228000.0,No,No,Second-Hand Dwelling house /Apartment,,26,4,2019,2019-04-26,109.2395096,34751.16309,-1,12
"20 Greenville Road, Blackrock, Co. Dublin",,Dublin,430000.0,No,No,Second-Hand Dwelling house /Apartment,,30,8,2013,2013-08-30,120.0591077,30843.61949,-1,5
"Annagh, Ballykeeran, Athlone",,Westmeath,56000.0,No,No,Second-Hand Dwelling house /Apartment,,3,8,2012,2012-08-03,88.51816938,22939.19417,-1,23
"no 3 Mountain View, Glengarriff",,Cork,60000.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,21,12,2011,2011-12-21,99.84716368,24949.12928,-1,3
"206 GLASNEVIN AVENUE, DUBLIN 11",Dublin 11,Dublin,332000.0,No,No,Second-Hand Dwelling house /Apartment,,14,10,2015,2015-10-14,121.3860474,32997.87569,2,5
"27A The WindMill, Lime Street, Dublin 2",Dublin 2,Dublin,180000.0,Yes,No,Second-Hand Dwelling house /Apartment,,14,7,2014,2014-07-14,120.6112462,31589.80748,10,5
"ARDKEENAN, DRUM, ATHLONE",,Westmeath,75000.0,No,No,Second-Hand Dwelling house /Apartment,,31,3,2020,2020-03-31,74.69792202,24268.74961,-1,23
"30 LIMEKILN WOOD, DUBLIN RD, NAVAN",,Meath,170000.0,No,No,Second-Hand Dwelling house /Apartment,,9,9,2015,2015-09-09,99.21203355,26970.03831,-1,16
"17 JOHNS GATE, CASTLECOMER RD, KILKENNY",,Kilkenny,142000.0,No,No,Second-Hand Dwelling house /Apartment,,24,2,2021,2021-02-24,87.17800513,29101.90619,-1,9
"52 ARDLEIGH, BRACKEN GROVE, OLD TRAMORE RD",,Waterford,133000.0,No,No,Second-Hand Dwelling house /Apartment,,20,2,2014,2014-02-20,96.14880924,25182.74597,-1,22
"5 MILL BANK, SALLINS, NAAS",,Kildare,211647.0,No,No,Second-Hand Dwelling house /Apartment,,20,3,2018,2018-03-20,113.8570586,34811.93017,-1,8
"26 Fairhaven Walk, Castleknock Road, Castleknock",,Dublin,585903.08,No,Yes,New Dwelling house /Apartment,,23,1,2020,2020-01-23,123.1012168,40191.10945,-1,5
"21 ARD NA GLAISE, KILMACRENNAN, LETTERKENNY",,Donegal,50575.0,Yes,No,Second-Hand Dwelling house /Apartment,,1,11,2020,2020-11-01,71.91219733,23409.2373,-1,4
"6 ASHFIELD DR, BALLINASLOE, GALWAY",,Galway,118000.0,No,No,Second-Hand Dwelling house /Apartment,,2,10,2015,2015-10-02,90.412496,24577.95081,-1,6
"TIG NOREEN, KILDROMALIVE, ADRIGOLE",,Cork,85000.0,No,No,Second-Hand Dwelling house /Apartment,,8,10,2020,2020-10-08,102.4934839,33427.07414,-1,3
"5 The Orchard, Gleann Ull, Ballyhooly",,Cork,250000.0,No,Yes,New Dwelling house /Apartment,,20,2,2020,2020-02-20,102.4934839,33427.07414,-1,3
"RONCALI, WAVECREST DR, BLACKROCK",,Louth,300000.0,No,No,Second-Hand Dwelling house /Apartment,,14,3,2019,2019-03-14,88.50637394,28155.55881,-1,14
"8 garville drive, rathgar, dublin 6",Dublin 6,Dublin,1035242.29,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,23,5,2018,2018-05-23,122.3417314,37406.12892,17,5
"LOCK 9, KILCLARE, CARRICK ON SHANNON",,Leitrim,118500.0,No,No,Second-Hand Dwelling house /Apartment,,14,12,2017,2017-12-14,82.79574771,24513.20255,-1,11
"3 WELLMOUNT CRESCENT, FINGLAS WEST, DUBLIN 11",,Dublin,87000.0,No,No,Second-Hand Dwelling house /Apartment,,29,1,2014,2014-01-29,120.6112462,31589.80748,-1,5
"Aghaderrard, Kinlough",,Leitrim,50000.0,No,No,Second-Hand Dwelling house /Apartment,,30,7,2010,2010-07-30,94.47540409,24075.11476,-1,11
"72 TOWNSEND ST, DUBLIN 2, DUBLIN",Dublin 2,Dublin,480000.0,No,No,Second-Hand Dwelling house /Apartment,,5,7,2021,2021-07-05,123.9176757,41522.06589,10,5
"14 BELLEWSBRIDGE RD, DUNDALK, LOUTH",,Louth,142000.0,No,No,Second-Hand Dwelling house /Apartment,,8,3,2018,2018-03-08,90.09730878,27547.3586,-1,14
"GRAEMAR, GOLF COURSE RD, DONEGAL",,Donegal,180000.0,No,No,Second-Hand Dwelling house /Apartment,,22,8,2018,2018-08-22,69.36144933,21207.34508,-1,4
"Crossreagh, Virginia",,Cavan,232500.0,No,No,Second-Hand Dwelling house /Apartment,,8,10,2010,2010-10-08,92.05058611,23457.19974,-1,1
"6 CLIFTON, SPA GLEN, MALLOW",,Cork,280000.0,No,No,Second-Hand Dwelling house /Apartment,,7,10,2021,2021-10-07,102.6648871,34327.05524,-1,3
"17 Carrig Mill, Killincarrig  Greystones",,Wicklow,409691.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,24,11,2015,2015-11-24,101.496535,27591.06268,-1,25
"3 castlehill, bennetsbridge, Co kilkenny",,Kilkenny,355000.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,29,4,2011,2011-04-29,88.33458983,22072.44573,-1,9
"10 DONERAILE PLACE, TRAMORE, WATERFORD",,Waterford,150000.0,No,No,Second-Hand Dwelling house /Apartment,,22,6,2017,2017-06-22,88.63183845,26241.08446,-1,22
"41 MOUNTRIVERS EST, CARRIGALINE, CORK",,Cork,210000.0,No,No,Second-Hand Dwelling house /Apartment,,26,7,2019,2019-07-26,102.3223668,32550.68859,-1,3
"17 THE GREEN, PHEASANT RUN, CLONEE",,Dublin,316000.0,No,No,Second-Hand Dwelling house /Apartment,,18,7,2014,2014-07-18,120.6112462,31589.80748,-1,5
"DEERPARK, LIXNAW, CO KERRY",,Kerry,147000.0,No,No,Second-Hand Dwelling house /Apartment,,6,9,2018,2018-09-06,83.74417175,25604.87945,-1,7
"CROUNAFINEELA, KILFLYNN, KERRY",,Kerry,53947.0,No,No,Second-Hand Dwelling house /Apartment,,6,5,2021,2021-05-06,85.62474275,28626.5986,-1,7
"23 MELVILLE SQ, CITYSIDE, FINGLAS DUBLIN 11",Dublin 11,Dublin,199050.0,No,No,Second-Hand Dwelling house /Apartment,,2,10,2020,2020-10-02,123.1012168,40191.10945,2,5
"82 Alexandra Walk, Clane, Co. Kildare",,Kildare,205000.0,No,No,Second-Hand Dwelling house /Apartment,,7,8,2013,2013-08-07,101.704581,26128.27512,-1,8
"SHANNOWOOD, REDHILLS, COUNTY CAVAN",,Cavan,10000.0,No,No,Second-Hand Dwelling house /Apartment,,28,11,2018,2018-11-28,80.69126288,24671.44895,-1,1
