Address,Postal_Code,County,Price_euro,Not_Full_Market_Price,Description_of_Property,Property_Size_Description,Day,Month,Year,DoS_yyyymmdd,Income_Indices,Income_Per_Person_euro,num_Postal_Code,num_County
"BALLINAMONA, TWO MILE BORRIS, THURLES",Unknown,Tipperary,50000.0,No,Second-Hand Dwelling house /Apartment,Unknown,20,8,2019,2019-08-20,83.31231368,26503.22958,22,21
"CAHERLEVOY, MOUNTCOLLINS, ABBEYFEALE",Unknown,Limerick,100000.0,No,Second-Hand Dwelling house /Apartment,Unknown,4,3,2020,2020-03-04,110.2827876,36028.55853,22,12
"46 The Green, Moyglare Hall Moyglare Road, Maynooth",Unknown,Kildare,365470.0,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,3,2,2011,2011-02-03,102.7482377,25674.0299,22,8
"67 SHANGANAGH GROVE, SHANKILL, DUBLIN 18",Dublin 18,Dublin,540000.0,No,Second-Hand Dwelling house /Apartment,Unknown,2,7,2021,2021-07-02,123.9176757,41522.06589,9,5
"63 EASTHAM CT, EASTHAM RD, BETTYSTOWN",Unknown,Meath,164520.0,No,Second-Hand Dwelling house /Apartment,Unknown,24,3,2020,2020-03-24,100.1450409,32617.34424,22,16
"21 THE PARC, NORTH CIRCULAR RD, LIMERICK",Unknown,Limerick,138000.0,No,Second-Hand Dwelling house /Apartment,Unknown,14,12,2020,2020-12-14,110.2827876,36028.55853,22,12
"81 BISHOPS FIELD, WATERFORD",Unknown,Waterford,205000.0,No,Second-Hand Dwelling house /Apartment,Unknown,8,5,2015,2015-05-08,95.42257239,25939.90205,22,22
"29 NAGLES TERRACE, KILRUSH, CLARE",Unknown,Clare,77500.0,No,Second-Hand Dwelling house /Apartment,Unknown,15,10,2019,2019-10-15,89.8789254,28592.1935,22,2
"16 ASGARD PARK, HOWTH, DUBLIN",Dublin 13,Dublin,1200000.0,No,Second-Hand Dwelling house /Apartment,Unknown,30,9,2021,2021-09-30,123.9176757,41522.06589,4,5
"COOLNATULLAGH, CARRON, CO CLARE",Unknown,Clare,300000.0,No,Second-Hand Dwelling house /Apartment,Unknown,7,3,2019,2019-03-07,89.8789254,28592.1935,22,2
"18 Chancery Park Way, Cloncollig, Tullamore",Unknown,Offaly,132500.0,No,Second-Hand Dwelling house /Apartment,Unknown,8,4,2011,2011-04-08,82.41315962,20592.83908,22,18
"No. 58, Balnagowan, Palmerstown Park",Unknown,Dublin,207500.0,No,Second-Hand Dwelling house /Apartment,Unknown,16,9,2011,2011-09-16,117.6102093,29387.63815,22,5
"Apt 3 New Bancroft Square, Main Street, Tallaght",Dublin 24,Dublin,142760.17515,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,19,7,2017,2017-07-19,120.8404921,35777.04822,13,5
"39 & 39a Summerhill Parade, Dublin 1",Dublin 1,Dublin,180000.0,No,Second-Hand Dwelling house /Apartment,Unknown,6,8,2010,2010-08-06,114.6838254,29224.81553,0,5
"COOLTRIMEGISH, TULLYNAHINNERA, CASTLEBLAYNEY",Unknown,Monaghan,220000.0,No,Second-Hand Dwelling house /Apartment,Unknown,7,4,2020,2020-04-07,81.31216685,26508.17389,22,17
"42 THE BAILEY, CIRCULAR RD, GALWAY",Unknown,Galway,260000.0,No,Second-Hand Dwelling house /Apartment,Unknown,25,9,2018,2018-09-25,91.05341986,27839.69069,22,6
"1 ALFREDS TERRACE, BOFFIN STREET, WESTPORT",Unknown,Mayo,136000.0,No,Second-Hand Dwelling house /Apartment,Unknown,9,8,2021,2021-08-09,79.52449336,26479.23549,22,15
"26 MOUNTAIN COURT, POINT RD, DUNDALK",Unknown,Louth,153000.0,No,Second-Hand Dwelling house /Apartment,Unknown,6,7,2018,2018-07-06,90.09730878,27547.3586,22,14
"28 Rosanna Close, Tipperary Town",Unknown,Tipperary,202030.0,No,New Dwelling house /Apartment,less than 38 sq metres,21,7,2010,2010-07-21,92.77836976,23642.66044,22,21
"111 THE DRIVE, CASTLETOWN, CELBRIDGE",Unknown,Kildare,305000.0,No,Second-Hand Dwelling house /Apartment,Unknown,22,9,2015,2015-09-22,105.0155327,28547.6755,22,8
"2 MARION TERRACE, UPPER AGHADA, CORK",Unknown,Cork,165000.0,No,Second-Hand Dwelling house /Apartment,Unknown,25,7,2017,2017-07-25,98.94301186,29293.89683,22,3
"13 OAKTON GREEN, BALLYBRACK, DUBLIN",Unknown,Dublin,330000.0,No,Second-Hand Dwelling house /Apartment,Unknown,14,5,2015,2015-05-14,121.3860474,32997.87569,22,5
"11 Glen Iris Drive, Rathpeacon, Killeens",Unknown,Cork,409735.0,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,31,7,2017,2017-07-31,98.94301186,29293.89683,22,3
"FLAT 5 CONVENT VIEW, MAIN STREET, KILCULLEN",Unknown,Kildare,155000.0,No,Second-Hand Dwelling house /Apartment,Unknown,25,11,2021,2021-11-25,107.7075719,36026.93033,22,8
"19 Berkeley Road, Phibsborough, Dublin 7",Unknown,Dublin,315000.0,No,Second-Hand Dwelling house /Apartment,Unknown,23,7,2011,2011-07-23,117.6102093,29387.63815,22,5
"5 LINDEN, 31-33 MERRION ROAD, BALLSBRIDGE",Unknown,Dublin,620000.0,No,Second-Hand Dwelling house /Apartment,Unknown,16,10,2015,2015-10-16,121.3860474,32997.87569,22,5
"45 CHURCHFIELDS, KENTSTOWN, MEATH",Unknown,Meath,258000.0,No,Second-Hand Dwelling house /Apartment,Unknown,25,2,2021,2021-02-25,99.69809961,33245.70711,22,16
"20 Mount William, Williamstown, Waterford",Unknown,Waterford,217200.0014,Yes,New Dwelling house /Apartment,Unknown,29,3,2021,2021-03-29,89.61237729,29907.28912,22,22
"24 Kingsland, Beaverstown Road, Donabate",Unknown,Dublin,430000.425,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,24,9,2018,2018-09-24,122.3417314,37406.12892,22,5
"298 MONKSBRIDGE, MARLBOROUGH VILLAGE, PORTLAOISE",Unknown,Laois,180000.0,No,Second-Hand Dwelling house /Apartment,Unknown,26,8,2019,2019-08-26,72.81363723,23163.40116,22,10
"6 LAVALLIN GREEN, FARRANASTIG, WHITECHURCH",Unknown,Cork,320000.0,No,Second-Hand Dwelling house /Apartment,Unknown,6,4,2018,2018-04-06,101.6747702,31087.1811,22,3
"BALLYNACALLY, ARDAGH, LIMERICK",Unknown,Limerick,200000.0,No,Second-Hand Dwelling house /Apartment,Unknown,21,11,2019,2019-11-21,109.2395096,34751.16309,22,12
"100 Millers Court, Old Quarter, Ballincollig",Unknown,Cork,544998.625,No,New Dwelling house /Apartment,greater than or equal to 125 sq metres,28,4,2016,2016-04-28,98.91884037,27690.63863,22,3
"LOWER MAIN STREET, FERBANE, COUNTY OFFALY",Unknown,Offaly,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,29,11,2019,2019-11-29,71.51053362,22748.85915,22,18
"37 FAWN LODGE, CASTLEKNOCK RD, CASTLEKNOCK DUBLIN 15",Dublin 15,Dublin,286343.61,No,Second-Hand Dwelling house /Apartment,Unknown,18,3,2021,2021-03-18,123.9176757,41522.06589,6,5
"MOUNTFOX KILMALLOCK, KILMALLOCK, LIMERICK",Unknown,Limerick,195000.0,No,Second-Hand Dwelling house /Apartment,Unknown,2,9,2019,2019-09-02,109.2395096,34751.16309,22,12
"Windross Cottage, The Green, Windmill Hills",Unknown,Wexford,110000.0,No,Second-Hand Dwelling house /Apartment,Unknown,7,2,2013,2013-02-07,87.22672669,22408.86193,22,24
"9 BELLEVUE COURT, OLD YOUGHAL RD, CORK",Unknown,Cork,196000.0,No,Second-Hand Dwelling house /Apartment,Unknown,30,8,2019,2019-08-30,102.3223668,32550.68859,22,3
"OURS, COONEY'S FIELD, MYRTLEVILLE",Unknown,Cork,130000.0,No,Second-Hand Dwelling house /Apartment,Unknown,24,8,2016,2016-08-24,98.91884037,27690.63863,22,3
"Apartment No. 4 Ash Hall, Clay Farm, Leopardstown",Dublin 18,Dublin,287624.62895,No,New Dwelling house /Apartment,Unknown,29,10,2019,2019-10-29,122.2901374,38902.81574,9,5
"11 Drakes Point, Crosshaven",Unknown,Cork,285670.42,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,26,6,2018,2018-06-26,101.6747702,31087.1811,22,3
"10  The Orchard, Chapel Hill, Macroom",Unknown,Cork,135000.0,No,Second-Hand Dwelling house /Apartment,Unknown,20,12,2012,2012-12-20,99.68430933,25832.86283,22,3
"16A PATRICKS ST., DUNLAOGHAIRE, CO DUBLIN",Unknown,Dublin,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,13,7,2016,2016-07-13,121.9729259,34144.23583,22,5
"45 GLEANN NA COILLE, BARNA RD, GALWAY",Unknown,Galway,360000.0,No,Second-Hand Dwelling house /Apartment,Unknown,18,8,2014,2014-08-18,91.09733125,23859.69176,22,6
"ROSSY, KESHCARRIGAN, LEITRIM",Unknown,Leitrim,156000.0,No,Second-Hand Dwelling house /Apartment,Unknown,23,10,2020,2020-10-23,81.14469894,26378.8963,22,11
"13 GRIANAN, WESTBURY, LIMERICK",Unknown,Clare,165000.0,No,Second-Hand Dwelling house /Apartment,Unknown,19,10,2020,2020-10-19,89.41223561,29116.97526,22,2
"43 BALNAGOWAN, PALMERSTON PARK, DUBLIN 6",Dublin 6,Dublin,300000.0,Yes,Second-Hand Dwelling house /Apartment,Unknown,10,8,2021,2021-08-10,123.9176757,41522.06589,17,5
"101 RATHFARNHAM WOOD, RATHFARNHAM, DUBLIN 14",Dublin 14,Dublin,820000.0,No,Second-Hand Dwelling house /Apartment,Unknown,10,11,2017,2017-11-10,120.8404921,35777.04822,5,5
"254 BROOKVILLE PARK, DROGHEDA, LOUTH",Unknown,Louth,202000.0,No,Second-Hand Dwelling house /Apartment,Unknown,14,2,2018,2018-02-14,90.09730878,27547.3586,22,14
"3 Cluain Ban, Ballytoohey, Tarmonbarry",Unknown,Roscommon,147550.0,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,30,3,2010,2010-03-30,89.33653721,22765.58017,22,19
"27 GRANGE PARK, BALDOYLE, DUBLIN 13",Dublin 13,Dublin,370000.0,No,Second-Hand Dwelling house /Apartment,Unknown,25,7,2014,2014-07-25,120.6112462,31589.80748,4,5
"11 MOYLARAGH PARK, BALBRIGGAN, DUBLIN",Unknown,Dublin,73500.0,No,Second-Hand Dwelling house /Apartment,Unknown,22,9,2014,2014-09-22,120.6112462,31589.80748,22,5
"151 Charlestown Centre, St Margaret's Road, Finglas",Unknown,Dublin,194086.0,No,Second-Hand Dwelling house /Apartment,Unknown,6,10,2014,2014-10-06,120.6112462,31589.80748,22,5
"6 Gainsborough Downs, Malahide",Unknown,Dublin,436000.0,No,Second-Hand Dwelling house /Apartment,Unknown,12,7,2013,2013-07-12,120.0591077,30843.61949,22,5
"7 ASHFORD, GRIFFITH AVE, GLASNEVIN DUBLIN 11",Dublin 11,Dublin,196000.0,No,Second-Hand Dwelling house /Apartment,Unknown,7,3,2019,2019-03-07,122.2901374,38902.81574,2,5
"Apartment 8 Castlegate Hall, The Sentinel Building, Adamstown  Lucan",Unknown,Dublin,109999.66,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,17,12,2013,2013-12-17,120.0591077,30843.61949,22,5
"10 BARLEY GARDENS, ABBEYSHRULE, LONGFORD",Unknown,Longford,135000.0,No,Second-Hand Dwelling house /Apartment,Unknown,19,12,2014,2014-12-19,82.04394811,21488.48145,22,13
"52 CLUAIN DARA COURT, CLONMACKEN, LIMERICK",Unknown,Limerick,198975.0,No,Second-Hand Dwelling house /Apartment,Unknown,12,4,2019,2019-04-12,109.2395096,34751.16309,22,12
"2 St Edmund's Grove  St Edmund's, St Loman's Road  Palmerstown, Dublin 20",Unknown,Dublin,402925.0,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,19,9,2018,2018-09-19,122.3417314,37406.12892,22,5
"6 Parkside Boulevard, Malahide Road, Balgriffin",Dublin 13,Dublin,387492.4958,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,8,12,2015,2015-12-08,121.3860474,32997.87569,4,5
"Fitzherbert Wood, Blackcastle, navan",Unknown,Meath,499999.28,No,New Dwelling house /Apartment,less than 38 sq metres,28,1,2013,2013-01-28,96.13678379,24697.88787,22,16
"KILLACLORAN, AUGHRIM, CO WICKLOW",Unknown,Wicklow,125000.0,No,Second-Hand Dwelling house /Apartment,Unknown,17,7,2016,2016-07-17,102.1790448,28603.27714,22,25
"DROMINAGH, CLONBANNIN CROSS, MALLOW",Unknown,Cork,90000.0,No,Second-Hand Dwelling house /Apartment,Unknown,22,11,2018,2018-11-22,101.6747702,31087.1811,22,3
"CHIMES, MOUNT ANVILLE RD, GOATSTOWN DUBLIN 14",Dublin 14,Dublin,1170000.0,Yes,Second-Hand Dwelling house /Apartment,Unknown,27,7,2016,2016-07-27,121.9729259,34144.23583,5,5
"65 SMITHFIELD GATE, RED COW LANE, DUBLIN 7",Dublin 7,Dublin,191000.0,No,Second-Hand Dwelling house /Apartment,Unknown,19,2,2015,2015-02-19,121.3860474,32997.87569,19,5
"Kiltoghert, Carrick on shannon",Unknown,Leitrim,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,9,8,2011,2011-08-09,91.07249157,22756.57397,22,11
"112 MORRISTOWN EST, NEWBRIDGE, KILDARE",Unknown,Kildare,176000.0,No,Second-Hand Dwelling house /Apartment,Unknown,28,7,2017,2017-07-28,114.4367515,33881.10315,22,8
"143 RATOATH RD, CABRA WEST, DUBLIN 7",Dublin 7,Dublin,240000.0,No,Second-Hand Dwelling house /Apartment,Unknown,30,8,2016,2016-08-30,121.9729259,34144.23583,19,5
"43 Liberty Court, Clanbrassil Street Lower, Dublin 8",Unknown,Dublin,187500.0,No,Second-Hand Dwelling house /Apartment,Unknown,21,12,2010,2010-12-21,114.6838254,29224.81553,22,5
"15 ST JOSEPH'S ROAD, WALKINSTOWN, DUBLIN 12",Dublin 12,Dublin,315000.0,No,Second-Hand Dwelling house /Apartment,Unknown,17,4,2015,2015-04-17,121.3860474,32997.87569,3,5
"THE FARMHOUSE, LACKAGHBEG, TURLOUGHMORE",Unknown,Galway,162000.0,No,Second-Hand Dwelling house /Apartment,Unknown,21,3,2016,2016-03-21,92.06370489,25771.66062,22,6
"81 ST ATTRACHA ROAD, CABRA, DUBLIN 5",Unknown,Dublin,290000.0,No,Second-Hand Dwelling house /Apartment,Unknown,21,1,2021,2021-01-21,123.9176757,41522.06589,22,5
"36 Clay Farm Drive, Clay Farm, Leopardstown",Dublin 18,Dublin,599999.59,No,New Dwelling house /Apartment,Unknown,19,5,2021,2021-05-19,123.9176757,41522.06589,9,5
"LEITRIM, NEWTOWNFORBES, LONGFORD",Unknown,Longford,165000.0,No,Second-Hand Dwelling house /Apartment,Unknown,8,5,2017,2017-05-08,77.85648076,23050.84181,22,13
"24 CHURCH VIEW BASTION COURT, CONNAUGHT ST, ATHLONE",Unknown,Westmeath,105000.0,No,Second-Hand Dwelling house /Apartment,Unknown,1,5,2020,2020-05-01,74.69792202,24268.74961,22,23
"14 The View, Citywest Village, Citywest",Dublin 24,Dublin,362500.0001,No,New Dwelling house /Apartment,Unknown,5,7,2019,2019-07-05,122.2901374,38902.81574,13,5
"12 WHITETHORN CRESCENT, ARTANE, DUBLIN 5",Dublin 5,Dublin,441000.0,No,Second-Hand Dwelling house /Apartment,Unknown,11,3,2019,2019-03-11,122.2901374,38902.81574,16,5
"Laharan Cottage, Ballylickey, Bantry",Unknown,Cork,265000.0,No,Second-Hand Dwelling house /Apartment,Unknown,28,5,2010,2010-05-28,100.639342,25645.86763,22,3
"54 THE CRESCENT, ST WOLSTANS ABBEY, CELBRIDGE",Unknown,Kildare,255000.0,No,Second-Hand Dwelling house /Apartment,Unknown,26,2,2018,2018-02-26,113.8570586,34811.93017,22,8
"23 Oaktree Road, Cunnaberry Hill, Tully Road",Unknown,Kildare,297937.5,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,28,9,2018,2018-09-28,113.8570586,34811.93017,22,8
"BALLYBRITTAN, RHODE, OFFALY",Unknown,Offaly,112000.0,Yes,Second-Hand Dwelling house /Apartment,Unknown,5,3,2019,2019-03-05,71.51053362,22748.85915,22,18
"7 DANFORTH CLOSE, SOUTHWAYS, ABBEYSIDE",Unknown,Waterford,110000.0,Yes,Second-Hand Dwelling house /Apartment,Unknown,21,3,2018,2018-03-21,89.41008255,27337.23837,22,22
"5 RIVER VILLE HOUSE, OAKVIEW VILLAGE, TRALEE",Unknown,Kerry,109000.0,No,Second-Hand Dwelling house /Apartment,Unknown,29,3,2021,2021-03-29,85.62474275,28626.5986,22,7
"36 FEALE DR, LISTOWEL, KERRY",Unknown,Kerry,44000.0,No,Second-Hand Dwelling house /Apartment,Unknown,6,2,2014,2014-02-06,84.84641486,22222.4875,22,7
"75 OAKLEIGH WOOD, DOORADOYLE, LIMERICK",Unknown,Limerick,91500.0,No,Second-Hand Dwelling house /Apartment,Unknown,21,3,2014,2014-03-21,106.2192943,27820.3498,22,12
"Rushin Road, Mountrath",Unknown,Laois,65680.0,No,Second-Hand Dwelling house /Apartment,Unknown,17,10,2012,2012-10-17,86.72574601,22474.69352,22,10
"Gavarnie, Maryborough Hill, Douglas",Unknown,Cork,475000.0,No,Second-Hand Dwelling house /Apartment,Unknown,17,7,2012,2012-07-17,99.68430933,25832.86283,22,3
"44 WOODLAWN DR, DOORADOYLE, LIMERICK",Unknown,Limerick,255000.0,No,Second-Hand Dwelling house /Apartment,Unknown,1,4,2019,2019-04-01,109.2395096,34751.16309,22,12
"18 ST LUKES GATE, THE COOMBE, DUBLIN 8",Dublin 8,Dublin,312000.0,No,Second-Hand Dwelling house /Apartment,Unknown,22,6,2017,2017-06-22,120.8404921,35777.04822,20,5
"INIS AONAR, BARNADOWN UPPER, CLOUGH",Unknown,Wexford,225000.0,No,Second-Hand Dwelling house /Apartment,Unknown,10,9,2014,2014-09-10,89.28165522,23384.14028,22,24
"14 Stony Park, Stoneybatter",Unknown,Wexford,172499.97859999997,No,New Dwelling house /Apartment,greater than or equal to 125 sq metres,30,10,2015,2015-10-30,90.34716947,24560.19229,22,24
"5 TOWERVILLE, ST JOHNS RD, SANDYMOUNT DUBLIN 4",Dublin 4,Dublin,300000.0,No,Second-Hand Dwelling house /Apartment,Unknown,10,2,2017,2017-02-10,120.8404921,35777.04822,15,5
"4 GREENVILLE PARADE, BLACKPITTS, DUBLIN 8",Dublin 8,Dublin,375000.0,No,Second-Hand Dwelling house /Apartment,Unknown,19,9,2018,2018-09-19,122.3417314,37406.12892,20,5
"20 Hillcrest, Stonebridge, Drumahair",Unknown,Leitrim,147550.0,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,19,5,2010,2010-05-19,94.47540409,24075.11476,22,11
"41 WOODLANDS MANOR, RAMSFORT PARK, GOREY",Unknown,Wexford,159000.0,No,Second-Hand Dwelling house /Apartment,Unknown,27,12,2019,2019-12-27,83.51898489,26568.97561,22,24
"16 ARD LAIGHNE, COOLANEY, SLIGO",Unknown,Sligo,136000.0,No,Second-Hand Dwelling house /Apartment,Unknown,18,9,2019,2019-09-18,86.86130781,27632.23202,22,20
"Cutbush, The Curragh",Unknown,Kildare,203000.0,No,Second-Hand Dwelling house /Apartment,Unknown,4,5,2010,2010-05-04,104.4897558,26627.06646,22,8
"203 THE DRUMLINS, BAILIEBORO RD, VIRGINIA",Unknown,Cavan,205000.0,No,Second-Hand Dwelling house /Apartment,Unknown,22,6,2018,2018-06-22,80.69126288,24671.44895,22,1
"6 CLOISTER AVE, BLACKROCK, DUBLIN",Unknown,Dublin,895000.0,No,Second-Hand Dwelling house /Apartment,Unknown,31,1,2018,2018-01-31,122.3417314,37406.12892,22,5
"3 WOOD LANE, SMITHFIELD, DUBLIN 7",Dublin 7,Dublin,550000.0,No,Second-Hand Dwelling house /Apartment,Unknown,8,8,2017,2017-08-08,120.8404921,35777.04822,19,5
"87 BLUEBELL WOODS, MAREE RD, ORANMORE",Unknown,Galway,412500.0,No,Second-Hand Dwelling house /Apartment,Unknown,12,12,2018,2018-12-12,91.05341986,27839.69069,22,6
"16 AUGHRIM STREET, DUBLIN 7",Unknown,Dublin,130000.0,No,Second-Hand Dwelling house /Apartment,Unknown,16,3,2016,2016-03-16,121.9729259,34144.23583,22,5
"CAIRNBAWN, SUMMERBANK, OLDCASTLE",Unknown,Meath,170000.0,No,Second-Hand Dwelling house /Apartment,Unknown,6,6,2018,2018-06-06,103.6349247,31686.50065,22,16
"Number 15 The Old Mill Race, Monasterevin",Unknown,Kildare,125660.39,No,New Dwelling house /Apartment,Unknown,31,10,2019,2019-10-31,107.1593191,34089.41499,22,8
"CARHOO, DUNQUIN, KERRY",Unknown,Kerry,295000.0,No,Second-Hand Dwelling house /Apartment,Unknown,13,9,2017,2017-09-13,85.65692567,25360.30687,22,7
"227 SOUTH CIRCULAR ROAD, DUBLIN 8, DUBLIN 8",Unknown,Dublin,425000.0,No,Second-Hand Dwelling house /Apartment,Unknown,9,6,2014,2014-06-09,120.6112462,31589.80748,22,5
"5 OLDE MILL STONE, BALLINA, MAYO",Unknown,Mayo,172500.0,No,Second-Hand Dwelling house /Apartment,Unknown,22,1,2021,2021-01-22,79.52449336,26479.23549,22,15
"8 Vernon Mews, Vernon Avenue",Dublin 3,Dublin,649999.745,No,New Dwelling house /Apartment,Unknown,21,5,2021,2021-05-21,123.9176757,41522.06589,14,5
"CHURCH STREET, BALLINAKILL, CO LAOIS",Unknown,Laois,172000.0,No,Second-Hand Dwelling house /Apartment,Unknown,26,1,2018,2018-01-26,77.80367058,23788.5642,22,10
"10 LIOS AN CHNOIC, BARNADERG, TUAM",Unknown,Galway,160000.0,No,Second-Hand Dwelling house /Apartment,Unknown,15,5,2019,2019-05-15,90.37404068,28749.69908,22,6
"37 NUTLEY LANE, DONNYBROOK, DUBLIN 4",Dublin 4,Dublin,1200000.0,No,Second-Hand Dwelling house /Apartment,Unknown,28,1,2021,2021-01-28,123.9176757,41522.06589,15,5
"MAIN ST, ARDARA, DONEGAL",Unknown,Donegal,72500.0,No,Second-Hand Dwelling house /Apartment,Unknown,19,2,2019,2019-02-19,72.41234003,23035.7409,22,4
"97 Reilean, Roscam",Unknown,Galway,56750.0,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,9,6,2017,2017-06-09,91.30778344,27033.34715,22,6
"BALLYCAHANE UPPER, KEYEVILLA HOUSE, MANISTER CROOM",Unknown,Limerick,330000.0,No,Second-Hand Dwelling house /Apartment,Unknown,31,10,2014,2014-10-31,106.2192943,27820.3498,22,12
"20 ST PETERS RD, PHIBSBOROUGH, DUBLIN 7",Dublin 7,Dublin,460000.0,No,Second-Hand Dwelling house /Apartment,Unknown,22,12,2014,2014-12-22,120.6112462,31589.80748,19,5
"ASIA, ROWDEN CROSS, CASTLETOWNBERE",Unknown,Cork,172000.0,No,Second-Hand Dwelling house /Apartment,Unknown,8,6,2017,2017-06-08,98.94301186,29293.89683,22,3
"11 THE GALLOPS, KILBEGGAN, COUNTY WESTMEATH",Unknown,Westmeath,163187.64,No,Second-Hand Dwelling house /Apartment,Unknown,10,12,2019,2019-12-10,75.88279203,24139.75761,22,23
"19 BURGAGE GREEN, NEWCASTLE LYONS, NEWCASTLE",Dublin 22,Dublin,236000.0,No,Second-Hand Dwelling house /Apartment,Unknown,28,5,2021,2021-05-28,123.9176757,41522.06589,12,5
"3 HOLYWELL LAWNS, GORSEHILL, SWORDS",Unknown,Dublin,190000.0,No,Second-Hand Dwelling house /Apartment,Unknown,22,12,2014,2014-12-22,120.6112462,31589.80748,22,5
"21 Cuil Duin Avenue, Edenbrook, Citywest",Dublin 24,Dublin,354949.685,No,New Dwelling house /Apartment,Unknown,6,11,2019,2019-11-06,122.2901374,38902.81574,13,5
"RAHEEN, FOULKSMILLS, CO WEXFORD",Unknown,Wexford,125000.0,No,Second-Hand Dwelling house /Apartment,Unknown,15,5,2017,2017-05-15,82.15337253,24323.01558,22,24
"21 DUN ARD, CRAUGHWELL, GALWAY",Unknown,Galway,185000.0,No,Second-Hand Dwelling house /Apartment,Unknown,25,2,2015,2015-02-25,90.412496,24577.95081,22,6
"5 CLUAIN BUI, CARRICK ON SHANNON, CO. LEITRIM",Unknown,Leitrim,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,29,11,2018,2018-11-29,82.03144145,25081.21014,22,11
"PRIESTOWN, CARNDONNAGH, CO DONEGAL",Unknown,Donegal,34050.0,No,New Dwelling house /Apartment,Unknown,14,8,2019,2019-08-14,72.41234003,23035.7409,22,4
"LISGARNEY, JAMESTOWN, CARRICK ON SHANNON",Unknown,Leitrim,38000.0,No,Second-Hand Dwelling house /Apartment,Unknown,11,8,2016,2016-08-11,82.35226461,23053.1089,22,11
"55 THE ANCHORAGE, THE MARINA, TRALEE",Unknown,Kerry,114400.0,No,Second-Hand Dwelling house /Apartment,Unknown,24,6,2019,2019-06-24,85.37893091,27160.65977,22,7
"23 College Woods, Balla",Unknown,Mayo,69498.32,No,New Dwelling house /Apartment,less than 38 sq metres,19,11,2015,2015-11-19,80.22447756,21808.41533,22,15
"26 Glenatore, Coosan, Athlone",Unknown,Westmeath,220000.455,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,29,5,2018,2018-05-29,77.63975426,23738.44659,22,23
"45 The Bailey, Castle Farm, Naas",Unknown,Kildare,389999.9832,No,New Dwelling house /Apartment,Unknown,6,6,2019,2019-06-06,107.1593191,34089.41499,22,8
"11 CHURCH MANOR, CARRIGALLEN, CO. LEITRIM.",Unknown,Leitrim,37885.0,No,Second-Hand Dwelling house /Apartment,Unknown,3,12,2014,2014-12-03,86.24924122,22589.90776,22,11
"19 BOFFIN AVE, DROMOD, LEITRIM",Unknown,Leitrim,150000.0,No,Second-Hand Dwelling house /Apartment,Unknown,23,3,2018,2018-03-23,82.03144145,25081.21014,22,11
"19 CASTLEKNOCK, BALLINCOLLIG, CORK",Unknown,Cork,210000.0,No,Second-Hand Dwelling house /Apartment,Unknown,26,9,2017,2017-09-26,98.94301186,29293.89683,22,3
"8 Manor Court, Manor Village, Tralee",Unknown,Kerry,81000.0,No,Second-Hand Dwelling house /Apartment,Unknown,22,10,2013,2013-10-22,83.60517658,21478.4726,22,7
"2 Brooklane, Glanmire",Unknown,Cork,429999.29,No,New Dwelling house /Apartment,greater than or equal to 125 sq metres,10,4,2018,2018-04-10,101.6747702,31087.1811,22,3
"6 HOLYWELL DR, SWORDS, DUBLIN",Unknown,Dublin,349000.0,No,Second-Hand Dwelling house /Apartment,Unknown,25,11,2021,2021-11-25,123.9176757,41522.06589,22,5
"38 LISBAUN, CLAREMORRIS, MAYO",Unknown,Mayo,101250.0,Yes,Second-Hand Dwelling house /Apartment,Unknown,12,3,2019,2019-03-12,80.78251551,25698.45272,22,15
"76 Aughamore, Clane",Unknown,Kildare,344999.14,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,27,10,2017,2017-10-27,114.4367515,33881.10315,22,8
"1 FIVE OAKS VILLAGE, DUBLIN RD, DROGHEDA",Unknown,Louth,335000.0,No,Second-Hand Dwelling house /Apartment,Unknown,2,10,2020,2020-10-02,87.92986994,28625.88609,22,14
"IVY HOUSE, MAYNOOTH, KILDARE",Unknown,Kildare,420000.0,No,Second-Hand Dwelling house /Apartment,Unknown,15,6,2015,2015-06-15,105.0155327,28547.6755,22,8
